phone_2,phone_1,by,score,n
ð,m,p_@,1.0,72
ð,ɹ,p_@,0.8614035087720001,2280
ð,s,p_@,1.0,12
ð,t,p_@,1.0,36
ð,tʃ,p_@,1.0,12
h,aʊ,p_@,1.0,20
h,ð,p_@,0.666666666667,30
h,iː,p_@,1.0,42
h,l,p_@,1.0,2
h,m,p_@,1.0,12
h,ɹ,p_@,0.668421052632,380
h,s,p_@,1.0,2
h,t,p_@,1.0,6
h,tʃ,p_@,1.0,2
iː,aʊ,p_@,1.0,140
iː,ð,p_@,0.7428571428569999,210
iː,l,p_@,1.0,14
iː,m,p_@,1.0,84
iː,ɹ,p_@,0.7699248120300001,2660
iː,s,p_@,1.0,14
iː,t,p_@,1.0,42
iː,tʃ,p_@,1.0,14
j,aʊ,p_@,1.0,20
j,ð,p_@,0.9,30
j,iː,p_@,1.0,42
j,l,p_@,1.0,2
j,m,p_@,1.0,12
j,ɹ,p_@,0.95,380
j,s,p_@,1.0,2
j,t,p_@,1.0,6
j,tʃ,p_@,1.0,2
l,aʊ,p_@,1.0,40
l,ð,p_@,0.516666666667,60
l,iː,p_@,0.9523809523810001,84
l,m,p_@,1.0,24
l,ɹ,p_@,0.838157894737,760
l,s,p_@,1.0,4
l,t,p_@,1.0,12
l,tʃ,p_@,1.0,4
m,aʊ,p_@,1.0,80
m,ð,p_@,0.516666666667,120
m,iː,p_@,1.0,168
m,l,p_@,1.0,8
m,ɹ,p_@,0.921710526316,1520
m,s,p_@,1.0,8
m,t,p_@,1.0,24
m,tʃ,p_@,1.0,8
ɹ,aʊ,p_@,1.0,400
ɹ,ð,p_@,0.74,600
ɹ,iː,p_@,0.864285714286,840
ɹ,l,p_@,0.975,40
ɹ,m,p_@,1.0,240
ɹ,s,p_@,1.0,40
ɹ,t,p_@,1.0,120
ɹ,tʃ,p_@,1.0,40
s,aʊ,p_@,1.0,40
s,ð,p_@,0.633333333333,60
s,iː,p_@,1.0,84
s,l,p_@,1.0,4
s,m,p_@,1.0,24
s,ɹ,p_@,0.9973684210529999,760
s,t,p_@,1.0,12
s,tʃ,p_@,1.0,4
t,aʊ,p_@,1.0,60
t,ð,p_@,0.577777777778,90
t,iː,p_@,1.0,126
t,l,p_@,1.0,6
t,m,p_@,1.0,36
t,ɹ,p_@,0.962280701754,1140
t,s,p_@,1.0,6
t,tʃ,p_@,1.0,6
tʃ,aʊ,p_@,1.0,40
tʃ,ð,p_@,0.683333333333,60
tʃ,iː,p_@,1.0,84
tʃ,l,p_@,1.0,4
tʃ,m,p_@,1.0,24
tʃ,ɹ,p_@,0.977631578947,760
tʃ,s,p_@,1.0,4
tʃ,t,p_@,0.916666666667,12
uː,aʊ,p_@,1.0,20
uː,ð,p_@,0.9666666666670001,30
uː,iː,p_@,0.785714285714,42
uː,l,p_@,1.0,2
uː,m,p_@,1.0,12
uː,ɹ,p_@,0.7,380
uː,s,p_@,1.0,2
uː,t,p_@,1.0,6
uː,tʃ,p_@,1.0,2
ɜ:,əʊ,p_Z,0.833333333333,6
əʊ,ɜ:,p_Z,0.583333333333,12
ʊ,ɛ,p_S,1.0,12
æ,ʊ,p_S,1.0,2
æ,ɛ,p_S,0.833333333333,6
ɛ,ʊ,p_S,1.0,6
ɛɪ,ʊ,p_S,1.0,2
ɛɪ,ɛ,p_S,1.0,6
ɒ,ʊ,p_S,0.0,2
ɒ,ɛ,p_S,1.0,6
ɔː,ʊ,p_S,1.0,2
ɔː,ɛ,p_S,1.0,6
ɜ:,uː,j_#,0.986111111111,72
ɛə,uː,j_#,0.986111111111,72
ɪə,uː,j_#,0.819444444444,72
p,w,u_@@,1.0,8
w,p,u_@@,1.0,24
ɑː,iː,p_#,1.0,2
ɑː,s,p_#,1.0,6
ɑː,t,p_#,1.0,12
ɪə,iː,p_#,1.0,2
ɪə,s,p_#,1.0,6
ɪə,t,p_#,1.0,12
iː,s,p_#,1.0,12
iː,t,p_#,1.0,24
s,iː,p_#,1.0,6
s,t,p_#,0.666666666667,36
t,iː,p_#,1.0,8
t,s,p_#,0.75,24
θ,iː,p_#,1.0,2
θ,s,p_#,0.666666666667,6
θ,t,p_#,0.916666666667,12
b,g,u_@U,1.0,12
b,n,u_@U,1.0,12
g,b,u_@U,1.0,6
g,n,u_@U,1.0,18
l,b,u_@U,1.0,2
l,g,u_@U,1.0,6
l,n,u_@U,1.0,6
n,b,u_@U,1.0,6
n,g,u_@U,1.0,18
z,b,u_@U,1.0,2
z,g,u_@U,1.0,6
z,n,u_@U,1.0,6
ʃ,s,"@@_,n",1.0,12
ʃ,t,"@@_,n",1.0,12
s,ʃ,"@@_,n",1.0,6
s,t,"@@_,n",0.611111111111,18
t,ʃ,"@@_,n",1.0,6
t,s,"@@_,n",0.944444444444,18
ʃ,n,"@@_,l",1.0,6
ʊ,ɪ,w_m,0.958333333333,48
ʊ,ɔː,w_m,1.0,8
æ,ʊ,w_m,0.666666666667,12
æ,ɪ,w_m,1.0,12
